effective_date,ticker,selection_rank,selection_score,avg_dollar_volume_60,close,universe_age_days
2020-10-30,ORCL,23,741662775.5310313,741662775.5310313,52.198387145996094,1032.0
2020-10-30,T,24,718604265.9423395,718604265.9423395,14.411866188049316,1032.0
2020-10-30,PG,25,709799603.9945221,709799603.9945221,120.12529754638672,1032.0
2020-10-30,COST,26,703025735.3152975,703025735.3152975,329.2843933105469,1032.0
2020-10-30,GE,27,663323287.0567787,663323287.0567787,36.065792083740234,1032.0
2020-10-30,CVX,28,655084489.5053482,655084489.5053482,54.843196868896484,1032.0
2020-10-30,CMCSA,29,645164307.2234927,645164307.2234927,34.029537200927734,1032.0
2020-10-30,PFE,30,639481631.1601797,639481631.1601797,25.67784881591797,1032.0
2020-11-30,AMZN,1,16215414517.35026,16215414517.35026,158.40199279785156,1063.0
2020-11-30,AAPL,2,15468199106.7682,15468199106.7682,115.78113555908203,1063.0
2020-11-30,NVDA,3,6329688813.403892,6329688813.403892,13.359248161315918,1063.0
2020-11-30,MSFT,4,6222065501.399257,6222065501.399257,204.94091796875,1063.0
2020-11-30,META,5,5500363356.217525,5500363356.217525,274.81341552734375,1063.0
2020-11-30,AMD,6,4146372874.8477807,4146372874.8477807,92.66000366210938,1063.0
2020-11-30,BA,7,3927397529.960302,3927397529.960302,210.7100067138672,1063.0
2020-11-30,GOOGL,8,2864878414.3473306,2864878414.3473306,87.00093078613281,1063.0
2020-11-30,NFLX,9,2832293783.916855,2832293783.916855,49.06999969482422,1063.0
2020-11-30,JPM,10,1507444822.2994995,1507444822.2994995,103.0660171508789,1063.0
2020-11-30,CRM,11,1503949325.1827748,1503949325.1827748,242.84930419921875,1063.0
2020-11-30,INTC,12,1429496188.8032658,1429496188.8032658,43.70962905883789,1063.0
2020-11-30,ADBE,13,1396792382.2843933,1396792382.2843933,478.4700012207031,1063.0
2020-11-30,DIS,14,1287056315.5624008,1287056315.5624008,144.60464477539062,1063.0
2020-11-30,MA,15,1184289657.9055786,1184289657.9055786,326.624755859375,1063.0
2020-11-30,C,16,1057567820.3818067,1057567820.3818067,45.8255500793457,1063.0
2020-11-30,PFE,17,936695729.9836195,936695729.9836195,29.52373695373535,1063.0
2020-11-30,QCOM,18,923251705.4343033,923251705.4343033,130.73614501953125,1063.0
2020-11-30,UNH,19,901115110.7478842,901115110.7478842,306.5227966308594,1063.0
2020-11-30,XOM,20,874441065.547781,874441065.547781,30.95768928527832,1063.0
2020-11-30,JNJ,21,849415050.0557581,849415050.0557581,124.85897827148438,1063.0
2020-11-30,HD,22,848176669.2536672,848176669.2536672,242.64556884765625,1063.0
2020-11-30,GE,23,843677968.5197794,843677968.5197794,49.48109817504883,1063.0
2020-11-30,CSCO,24,842393054.0069103,842393054.0069103,36.923030853271484,1063.0
2020-11-30,T,25,763032369.6409593,763032369.6409593,15.334609031677246,1063.0
2020-11-30,COST,26,762689935.9979248,762689935.9979248,360.728515625,1063.0
2020-11-30,PG,27,749177194.8341624,749177194.8341624,121.67611694335938,1063.0
2020-11-30,CMCSA,28,747163991.8598897,747163991.8598897,40.47453308105469,1063.0
2020-11-30,CVX,29,723979161.2804413,723979161.2804413,69.80692291259766,1063.0
2020-11-30,ORCL,30,709398891.8295542,709398891.8295542,53.69614028930664,1063.0
2020-12-31,AMZN,1,14136785917.880758,14136785917.880758,162.84649658203125,1094.0
2020-12-31,AAPL,2,13304775223.370947,13304775223.370947,129.04666137695312,1094.0
2020-12-31,MSFT,3,5789189254.546254,5789189254.546254,212.934814453125,1094.0
2020-12-31,META,4,5030692984.733327,5030692984.733327,271.0330810546875,1094.0
2020-12-31,NVDA,5,4095232361.2643557,4095232361.2643557,13.017683982849121,1094.0
2020-12-31,BA,6,4046831879.84347,4046831879.84347,214.05999755859375,1094.0
2020-12-31,AMD,7,3904348166.848882,3904348166.848882,91.70999908447266,1094.0
2020-12-31,GOOGL,8,2756273379.2063394,2756273379.2063394,86.91366577148438,1094.0
2020-12-31,NFLX,9,2540407374.594625,2540407374.594625,54.073001861572266,1094.0
2020-12-31,CRM,10,1978933416.7740886,1978933416.7740886,219.85867309570312,1094.0
2020-12-31,DIS,11,1763578187.8752518,1763578187.8752518,177.011474609375,1094.0
2020-12-31,INTC,12,1602131436.5796025,1602131436.5796025,45.03853988647461,1094.0
2020-12-31,JPM,13,1420535776.7589188,1420535776.7589188,111.1010971069336,1094.0
2020-12-31,PFE,14,1308063579.5446074,1308063579.5446074,28.36775779724121,1094.0
2020-12-31,MA,15,1199383334.0264385,1199383334.0264385,346.4546203613281,1094.0
2020-12-31,ADBE,16,1183639566.946106,1183639566.946106,500.1199951171875,1094.0
2020-12-31,QCOM,17,1023378218.1642532,1023378218.1642532,135.91290283203125,1094.0
2020-12-31,C,18,982713393.98592,982713393.98592,51.30930709838867,1094.0
2020-12-31,UNH,19,959498222.163442,959498222.163442,320.7414245605469,1094.0
2020-12-31,XOM,20,917811541.9246451,917811541.9246451,33.46644592285156,1094.0
2020-12-31,JNJ,21,904147802.9191335,904147802.9191335,135.81910705566406,1094.0
2020-12-31,GE,22,892920739.2936662,892920739.2936662,52.54298400878906,1094.0
2020-12-31,HD,23,891989891.7900594,891989891.7900594,233.5998992919922,1094.0
2020-12-31,T,24,846098752.101906,846098752.101906,15.339943885803223,1094.0
2020-12-31,PG,25,775437507.0641836,775437507.0641836,121.91273498535156,1094.0
2020-12-31,CSCO,26,773735130.318664,773735130.318664,38.4078483581543,1094.0
2020-12-31,COST,27,771537455.92158,771537455.92158,356.0135803222656,1094.0
2020-12-31,TMO,28,754918838.41863,754918838.41863,459.2496032714844,1094.0
2020-12-31,LOW,29,723322665.6941986,723322665.6941986,145.74435424804688,1094.0
2020-12-31,CVX,30,719882768.6210951,719882768.6210951,67.62095642089844,1094.0
2021-01-29,AAPL,1,13442951709.02935,13442951709.02935,128.336669921875,1123.0
2021-01-29,AMZN,2,12347630136.321005,12347630136.321005,160.30999755859375,1123.0
2021-01-29,MSFT,3,6236809204.959895,6236809204.959895,222.06797790527344,1123.0
2021-01-29,META,4,5152223387.323176,5152223387.323176,256.3184814453125,1123.0
2021-01-29,NVDA,5,4108777917.078591,4108777917.078591,12.95262336730957,1123.0
2021-01-29,BA,6,4103475021.577784,4103475021.577784,194.19000244140625,1123.0
2021-01-29,AMD,7,4050025068.9510474,4050025068.9510474,85.63999938964844,1123.0
2021-01-29,GOOGL,8,2921635087.914785,2921635087.914785,90.61902618408203,1123.0
2021-01-29,NFLX,9,2640436164.677175,2640436164.677175,53.23899841308594,1123.0
2021-01-29,CRM,10,2206822699.0465546,2206822699.0465546,222.852294921875,1123.0
2021-01-29,DIS,11,1930912701.6667683,1930912701.6667683,164.30081176757812,1123.0
2021-01-29,INTC,12,1910512920.930627,1910512920.930627,50.182437896728516,1123.0
2021-01-29,JPM,13,1643918182.947337,1643918182.947337,113.31023406982422,1123.0
2021-01-29,PFE,14,1416354870.4852786,1416354870.4852786,27.96743392944336,1123.0
2021-01-29,MA,15,1304579742.568512,1304579742.568512,307.3878479003906,1123.0
2021-01-29,ADBE,16,1297496712.1337383,1297496712.1337383,458.7699890136719,1123.0
2021-01-29,QCOM,17,1111596894.3409092,1111596894.3409092,139.4280548095703,1123.0
2021-01-29,C,18,1093362898.975048,1093362898.975048,48.666717529296875,1123.0
2021-01-29,JNJ,19,1082752252.0077388,1082752252.0077388,140.7813720703125,1123.0
2021-01-29,XOM,20,1046575378.2761732,1046575378.2761732,36.40553283691406,1123.0
2021-01-29,UNH,21,1037117918.8715109,1037117918.8715109,305.101318359375,1123.0
2021-01-29,HD,22,987174418.3760325,987174418.3760325,238.1730194091797,1123.0
2021-01-29,GE,23,943762826.8887724,943762826.8887724,51.95915985107422,1123.0
2021-01-29,T,24,890580427.4830346,890580427.4830346,15.630393981933594,1123.0
2021-01-29,TMO,25,860852080.0274658,860852080.0274658,502.5539245605469,1123.0
2021-01-29,PG,26,854993734.5657858,854993734.5657858,113.01355743408203,1123.0
2021-01-29,COST,27,853788992.367045,853788992.367045,333.005615234375,1123.0
2021-01-29,BKNG,28,810742432.5512695,810742432.5512695,1908.673828125,1123.0
2021-01-29,CSCO,29,797439950.2435303,797439950.2435303,38.57225036621094,1123.0
2021-01-29,KO,30,794383706.756897,794383706.756897,41.14286422729492,1123.0
