model_name,window_label,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,rebalance_count,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,model_dim,training_lookback_days,sequence_lookback_window,target_clip_quantile,objective_name,baseline_ending_capital,ending_capital_gap_vs_baseline,beat_baseline
transformer_d4_lb252_seq10_clip_q95,2023-03-13_to_2024-03-12,0.5148846500267261,0.5148846500267261,0.18488858439592362,0.11332916835427408,2.3403492279664055,3.8181155128408086,-0.12560914403231982,4.099101653731864,0.04857142857142857,0.3594734313506083,0.3594734313506083,0.11431721657239025,0.15541121867611785,0.12319959046825887,0.960075551103045,2023-03-13,2024-03-12,100000.0,151488.85485755844,51488.85485755844,12,6899.5,1628.3333333333333,0.008944406623244488,4.0,252.0,10.0,0.95,clip_q95,153956.87049679997,-2468.015639241523,False
configured_baseline,2024-03-13_to_2025-03-14,-0.01643011294068175,-0.01643011294068175,0.17957796605041768,0.13223977513469795,-0.0022553139932631073,-0.003062654177252653,-0.1587072134369767,-0.10352467657184479,0.05428571428571429,0.10304052132351305,0.10304052132351305,-0.10831028593658987,-0.1194706342641948,0.09546969831322029,-1.1275346830601198,2024-03-13,2025-03-14,100000.0,99285.4899958324,-714.5100041676051,12,,,,,,,,,99285.4899958324,0.0,False
transformer_d4_lb252_seq20_clip_q95,2024-03-13_to_2025-03-14,-0.054885649721989505,-0.054885649721989505,0.18333607557665793,0.1377775917774078,-0.21588164989179845,-0.28726655742480717,-0.1652247154937332,-0.3321878906432208,0.049523809523809526,0.10304052132351305,0.10304052132351305,-0.14317349906240118,-0.15792617104550255,0.09561333321460498,-1.5355524263584241,2024-03-13,2025-03-14,100000.0,95126.57425224321,-4873.425747756788,12,7070.916666666667,1683.5,0.007771666399777691,4.0,252.0,20.0,0.95,clip_q95,99285.4899958324,-4158.915743589183,False
transformer_d4_lb252_seq20_raw,2024-03-13_to_2025-03-14,-0.07047346552465172,-0.07047346552465172,0.18471388457625157,0.1394173871619741,-0.3028930810203721,-0.4013025831673462,-0.17510550175375372,-0.4024628856251285,0.049523809523809526,0.10304052132351305,0.10304052132351305,-0.15730517917870257,-0.17351398684816477,0.09713810562209595,-1.6799684108637645,2024-03-13,2025-03-14,100000.0,93557.64715157432,-6442.352848425682,12,7070.916666666667,1683.5,0.007850786020586387,4.0,252.0,20.0,,raw,99285.4899958324,-5727.842844258077,False
transformer_d4_lb252_seq20_clip_q90,2024-03-13_to_2025-03-14,-0.07831881941765728,-0.07831881941765728,0.18874701270532454,0.14332949367630565,-0.3372653618393688,-0.44413628977107544,-0.17510550175375394,-0.44726646869037207,0.04857142857142857,0.10304052132351305,0.10304052132351305,-0.1644176594016341,-0.18135934074117033,0.10104030920941304,-1.6913865585237833,2024-03-13,2025-03-14,100000.0,92768.00551782007,-7231.994482179929,12,7070.916666666667,1683.5,0.00766798867893418,4.0,252.0,20.0,0.9,clip_q90,99285.4899958324,-6517.484478012324,False
transformer_d4_lb252_seq10_raw,2024-03-13_to_2025-03-14,-0.08291788595181215,-0.08291788595181215,0.18328553144990306,0.138170073103862,-0.3802600668137368,-0.5044230408906348,-0.17423926809990709,-0.4758851828065982,0.047619047619047616,0.10304052132351305,0.10304052132351305,-0.16858710417292555,-0.1859584072753252,0.0924718911862437,-1.91340911811242,2024-03-13,2025-03-14,100000.0,92577.37430851212,-7422.625691487876,12,7070.916666666667,1683.5,0.007318062039212287,4.0,252.0,10.0,,raw,99285.4899958324,-6708.115687320271,False
transformer_d4_lb252_seq10_clip_q90,2024-03-13_to_2025-03-14,-0.08429076567206228,-0.08429076567206228,0.18902195239918443,0.1422280311732258,-0.37099975311788236,-0.49306101684376574,-0.17423926809990764,-0.4837644613137982,0.04857142857142857,0.10304052132351305,0.10304052132351305,-0.16983173634528026,-0.18733128699557533,0.10064047391610474,-1.7623872593400174,2024-03-13,2025-03-14,100000.0,92438.78519223207,-7561.21480776793,12,7070.916666666667,1683.5,0.007262043487137558,4.0,252.0,10.0,0.9,clip_q90,99285.4899958324,-6846.704803600325,False
transformer_d4_lb252_seq10_clip_q95,2024-03-13_to_2025-03-14,-0.08429076567206228,-0.08429076567206228,0.18902195239918443,0.1422280311732258,-0.37099975311788236,-0.49306101684376574,-0.17423926809990764,-0.4837644613137982,0.04857142857142857,0.10304052132351305,0.10304052132351305,-0.16983173634528026,-0.18733128699557533,0.10064047391610474,-1.7623872593400174,2024-03-13,2025-03-14,100000.0,92438.78519223207,-7561.21480776793,12,7070.916666666667,1683.5,0.007293081038114699,4.0,252.0,10.0,0.95,clip_q95,99285.4899958324,-6846.704803600325,False
transformer_d4_lb252_seq40_clip_q95,2024-03-13_to_2025-03-14,-0.10183592123457097,-0.10183592123457097,0.20425801410865463,0.15625287600821902,-0.423120335704651,-0.5531144239256961,-0.18079600563318843,-0.5632642207880566,0.040952380952380955,0.10304052132351305,0.10304052132351305,-0.18573791134368978,-0.20487644255808402,0.11375883426116322,-1.7024269990771426,2024-03-13,2025-03-14,100000.0,90782.28388719348,-9217.71611280652,12,7070.916666666667,1683.5,0.0073305615110193486,4.0,252.0,40.0,0.95,clip_q95,99285.4899958324,-8503.206108638915,False
transformer_d4_lb252_seq40_clip_q90,2024-03-13_to_2025-03-14,-0.11330081689079574,-0.11330081689079574,0.20714346271470796,0.15957176941313433,-0.4762870287615907,-0.6182781875930926,-0.1928993756685532,-0.5873570948486291,0.040952380952380955,0.10304052132351305,0.10304052132351305,-0.19613181386548317,-0.2163413382143088,0.11570537017168846,-1.7795209972361634,2024-03-13,2025-03-14,100000.0,89623.46509583067,-10376.534904169326,12,7070.916666666667,1683.5,0.007295356816622093,4.0,252.0,40.0,0.9,clip_q90,99285.4899958324,-9662.024900001721,False
