model_name,window_label,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,gross_total_return,gross_cagr,cost_drag_total_return,avg_daily_linear_cost,avg_daily_spread_cost,avg_daily_market_impact_cost,avg_daily_total_cost,avg_daily_max_participation_rate,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,rebalance_count,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,baseline_ending_capital,ending_capital_gap_vs_baseline,beat_baseline
tcn_walkforward,2023-03-15_to_2024-03-14,0.4981574914081699,0.4981574914081699,0.16233197447367193,0.0964024853362104,2.5729188157630043,4.332533441089484,-0.11128724616423669,4.4763214885647695,0.05523809523809523,0.33453278194356306,0.33453278194356306,0.12260823539029886,0.16362470946460683,0.10877629743539159,1.120585984354309,0.529727971168787,0.529727971168787,0.03157047976061711,5.523809523809524e-05,2.761904761904762e-05,2.3455072282314957e-07,8.3091693579966e-05,7.701855407988501e-07,2023-03-15,2024-03-14,100000.0,150359.9125270542,50359.9125270542,12,26008.0,1628.3333333333333,0.00798364239744842,145651.7394613516,4708.1730657026055,True
mlp_walkforward,2023-03-15_to_2024-03-14,0.48610596186448873,0.48610596186448873,0.16088465152107156,0.09792820355429496,2.544522048753145,4.180353853569473,-0.09463542372428724,5.136617375758994,0.05333333333333334,0.33453278194356306,0.33453278194356306,0.11357771196911348,0.15157317992092567,0.10289011585686318,1.1040977548529056,0.5163575505091842,0.5163575505091842,0.03025158864469546,5.3333333333333326e-05,2.6666666666666663e-05,2.226385888537038e-07,8.02226385888537e-05,7.644448238178407e-07,2023-03-15,2024-03-14,100000.0,149975.20884743074,49975.20884743074,12,26008.0,1628.3333333333333,,145651.7394613516,4323.469386079145,True
hybrid_sequence_walkforward,2023-03-15_to_2024-03-14,0.48648232185485485,0.48648232185485485,0.17480478262266322,0.1063637771137767,2.3565825329400747,3.8729528847241204,-0.09585309191612545,5.07529086574007,0.054285714285714284,0.33453278194356306,0.33453278194356306,0.11385972826384849,0.1519495399112918,0.11593233384042823,1.0020336550425737,0.5172502473296305,0.5172502473296305,0.030767925474775693,5.428571428571428e-05,2.714285714285714e-05,2.2849670398161785e-07,8.165706813255305e-05,7.52730682345736e-07,2023-03-15,2024-03-14,100000.0,149504.70685084566,49504.70685084566,12,26008.0,1628.3333333333333,0.008650943442868689,145651.7394613516,3852.9673894940643,True
ridge_walkforward,2023-03-15_to_2024-03-14,0.4576447822137446,0.4576447822137446,0.17474834763727634,0.11110575978669471,2.2452407182027803,3.5313390260515813,-0.11423671559065873,4.0061094180404355,0.05047619047619048,0.33453278194356306,0.33453278194356306,0.09225101244113754,0.12311200027018154,0.11218345915271687,0.8608961525707579,0.4856863721588347,0.4856863721588347,0.028041589945090095,5.047619047619048e-05,2.523809523809524e-05,2.0956389296662245e-07,7.592384960725233e-05,7.811820756934206e-07,2023-03-15,2024-03-14,100000.0,147415.0639969625,47415.063996962504,12,26008.0,1628.3333333333333,,145651.7394613516,1763.324535610911,True
configured_baseline,2023-03-15_to_2024-03-14,0.4514281022612021,0.4514281022612021,0.19517682032392664,0.11875783121348567,2.0072931717153155,3.2989580115272115,-0.11515237334534167,3.920267460813599,0.049523809523809526,0.33453278194356306,0.33453278194356306,0.0875926930377815,0.11689532031763905,0.1308443396370602,0.7337214723419204,0.47888017272228733,0.47888017272228733,0.02745207046108522,4.952380952380952e-05,2.476190476190476e-05,2.674642883641768e-07,7.455317857407846e-05,1.2189827029133567e-06,2023-03-15,2024-03-14,100000.0,145651.7394613516,45651.73946135159,12,,,,145651.7394613516,0.0,False
lstm_walkforward,2023-03-15_to_2024-03-14,0.4189171251196351,0.4189171251196351,0.17334185379434613,0.11171230142776681,2.10651900930015,3.268645488977077,-0.10918510755435851,3.8367606581426363,0.060000000000000005,0.33453278194356306,0.33453278194356306,0.06323137529314038,0.08438434317607202,0.11500152322210319,0.603245165752457,0.45138212491853746,0.45138212491853746,0.03246499979890238,5.9999999999999995e-05,2.9999999999999997e-05,2.446055638121209e-07,9.024460556381212e-05,7.509360945270802e-07,2023-03-15,2024-03-14,100000.0,141366.13131819613,41366.13131819613,12,26008.0,1628.3333333333333,0.008834065403789282,145651.7394613516,-4285.608143155463,False
tree_walkforward,2024-03-15_to_2025-03-18,0.00713314906171858,0.00713314906171858,0.19449183139982876,0.14520307288571113,0.1342353733368788,0.1798011783089368,-0.16836572801861993,0.042366989681710696,0.04476190476190476,0.1034398660480822,0.1034398660480822,-0.08727862745369308,-0.09630671698636362,0.10308636626023407,-0.7913748022896036,0.024297793843195192,0.024297793843195192,0.017164644781476612,4.476190476190477e-05,2.2380952380952384e-05,2.0828138133368282e-07,6.735113852419082e-05,1.0352848164866776e-06,2024-03-15,2025-03-18,100000.0,101626.61150236292,1626.6115023629245,12,33121.583333333336,1683.5,0.007125822668584285,99969.63567622851,1656.9758261344105,True
configured_baseline,2024-03-15_to_2025-03-18,-0.0074079919354707036,-0.0074079919354707036,0.17977474803034588,0.13241926073854732,0.0487437567185975,0.06617539271299873,-0.1600257686120784,-0.04629249401343956,0.05428571428571429,0.1034398660480822,0.1034398660480822,-0.1004566369171972,-0.1108478579835529,0.09487053550327339,-1.0427340713315991,0.013141266614394187,0.013141266614394187,0.02054925854986489,5.428571428571429e-05,2.7142857142857144e-05,3.22038018916705e-07,8.175060944748813e-05,1.5450244837465113e-06,2024-03-15,2025-03-18,100000.0,99969.63567622851,-30.364323771485942,12,,,,99969.63567622851,0.0,False
hybrid_sequence_walkforward,2024-03-15_to_2025-03-18,-0.031102572476343515,-0.031102572476343515,0.17275669986357184,0.13032634997544343,-0.09614139062897978,-0.12744214326946637,-0.17917185931689994,-0.173590722309426,0.052380952380952375,0.1034398660480822,0.1034398660480822,-0.12193001418943028,-0.1345424385244257,0.092070370031395,-1.350018530824291,-0.011723130447194974,-0.011723130447194974,0.01937944202914854,5.238095238095238e-05,2.619047619047619e-05,2.0963185433111088e-07,7.878106042575968e-05,7.808363121379126e-07,2024-03-15,2025-03-18,100000.0,97481.95715206796,-2518.04284793204,12,33121.583333333336,1683.5,0.008206984920737645,99969.63567622851,-2487.678524160554,False
transformer_walkforward,2024-03-15_to_2025-03-18,-0.03905668796249351,-0.03905668796249351,0.1835549091270591,0.13773943298735827,-0.12492501594752053,-0.1664781061792821,-0.1656224850089939,-0.23581754591094675,0.049523809523809526,0.1034398660480822,0.1034398660480822,-0.12913848628735913,-0.1424965540105757,0.09560868550429384,-1.3661754220117692,-0.020865978380679384,-0.020865978380679384,0.018190709581814124,4.952380952380953e-05,2.4761904761904766e-05,2.123052031681811e-07,7.449801948888248e-05,9.177352512879553e-07,2024-03-15,2025-03-18,100000.0,96331.21748086301,-3668.782519136992,12,7070.916666666667,1683.5,0.0077716651516463705,99969.63567622851,-3638.418195365506,False
