date,base_value,soft_price_value,with_llm_short_value,with_llm_swing_value,with_llm_long_value,benchmark_value
2025-04-11,104542.27446307926,101542.0467152598,101542.0467152598,101542.0467152598,101542.0467152598,97121.28299544788
2025-04-14,104542.27446307926,101821.91135488186,101821.91135488186,101821.91135488186,101821.91135488186,98063.508534478
2025-04-15,104542.27446307926,101379.16529779394,101379.16529779394,101379.16529779394,101379.16529779394,97788.84906753416
2025-04-16,104542.27446307926,100098.77046519739,100098.77046519739,100098.77046519739,100098.77046519739,95615.19140324606
2025-04-17,104542.27446307926,101444.39297789548,101444.39297789548,101444.39297789548,101444.39297789548,95751.61404152012
2025-04-21,104542.27446307926,99213.43623320312,99213.43623320312,99213.43623320312,99213.43623320312,93472.47576404014
2025-04-22,104542.27446307926,101710.43025774893,101710.43025774893,101710.43025774893,101710.43025774893,95904.40918818004
2025-04-23,104542.27446307926,102499.75657168204,102499.75657168204,102499.75657168204,102499.75657168204,97390.48869249845
2025-04-24,104542.27446307926,104074.61860882601,104074.61860882601,104074.61860882601,104074.61860882601,99440.46784610696
2025-04-25,104542.27446307926,104294.79889778148,104294.79889778148,104294.79889778148,104294.79889778148,100158.94323633428
2025-04-28,104542.27446307926,104264.78635154771,104264.78635154771,104264.78635154771,104264.78635154771,100197.14202299928
2025-04-29,104542.27446307926,104892.51626501269,104892.51626501269,104892.51626501269,104892.51626501269,100828.32349881627
2025-04-30,104437.73218861621,104334.63583907929,104334.63583907929,104334.63583907929,104334.63583907929,100868.33647587695
2025-05-01,105798.75121428339,107343.36525755415,107343.36525755415,107343.36525755415,107343.36525755415,101583.17228660674
2025-05-02,108102.47800712119,109719.65278188452,109719.65278188452,109719.65278188452,109719.65278188452,103091.10046661654
2025-05-05,107828.43269747999,109567.12904777683,109567.12904777683,109567.12904777683,109567.12904777683,102499.94316656634
2025-05-06,107089.0770749213,108824.05991996337,108824.05991996337,108824.05991996337,108824.05991996337,101643.208550257
2025-05-07,107832.8494212292,109393.44059215541,109393.44059215541,109393.44059215541,109393.44059215541,102070.67436256689
2025-05-08,108960.36215488923,110555.49806133722,110555.49806133722,110555.49806133722,110555.49806133722,102781.88179250527
2025-05-09,108993.34457716739,110615.92132562221,110615.92132562221,110615.92132562221,110615.92132562221,102650.92412283059
2025-05-12,112619.22536378495,114039.54026666813,114039.54026666813,114039.54026666813,114039.54026666813,106043.26978478218
2025-05-13,114250.55828815055,115270.85766702775,115270.85766702775,115270.85766702775,115270.85766702775,106743.56967493406
2025-05-14,114296.69289392294,115549.58042697767,115549.58042697767,115549.58042697767,115549.58042697767,106879.99231320815
2025-05-15,115374.73555829145,116432.14916100341,116432.14916100341,116432.14916100341,116432.14916100341,107402.03119892342
2025-05-16,115303.18957428433,116451.22735749296,116451.22735749296,116451.22735749296,116451.22735749296,108082.31900119192
2025-05-19,115576.6656561183,116953.17640319707,116953.17640319707,116953.17640319707,116953.17640319707,108200.54374197825
2025-05-20,115960.79219882129,117200.10207300249,117200.10207300249,117200.10207300249,117200.10207300249,107836.75377281611
2025-05-21,114530.9067656244,115758.10608621077,115758.10608621077,115758.10608621077,115758.10608621077,106019.61811740122
2025-05-22,114342.76806310173,115761.92124809301,115761.92124809301,115761.92124809301,115761.92124809301,106061.4676822699
2025-05-23,113688.85558205994,114967.63581065807,114967.63581065807,114967.63581065807,114967.63581065807,105337.50492603089
2025-05-27,115851.90672839781,117279.18736718783,117279.18736718783,117279.18736718783,117279.18736718783,107527.54629741101
2025-05-28,116032.90363022598,117204.67399332862,117204.67399332862,117204.67399332862,117204.67399332862,106905.44697227865
2025-05-29,116404.41740985062,117570.69218746867,117570.69218746867,117570.69218746867,117570.69218746867,107327.44781598916
2025-05-30,117575.50410642696,118506.67734212846,118506.67734212846,118506.67734212846,118506.67734212846,107207.39768610097
2025-06-02,119376.60029413545,119990.31758009596,119990.31758009596,119990.31758009596,119990.31758009596,107811.31031245177
2025-06-03,120873.57562376246,122057.99988807122,122057.99988807122,122057.99988807122,122057.99988807122,108426.09688247062
2025-06-04,121078.0709933868,122536.1823541067,122536.1823541067,122536.1823541067,122536.1823541067,108397.00264390255
2025-06-05,118984.7601102491,121973.07748912727,121973.07748912727,121973.07748912727,121973.07748912727,107873.12717037927
2025-06-06,117735.51538783369,121440.89867985765,121440.89867985765,121440.89867985765,121440.89867985765,108980.88078495767
2025-06-09,117124.78376445099,121578.39831254084,121578.39831254084,121578.39831254084,121578.39831254084,109079.10463656676
2025-06-10,117495.25889145589,121999.65913283254,121999.65913283254,121999.65913283254,121999.65913283254,109697.55318349546
2025-06-11,118347.39349695362,122853.6889045566,122853.6889045566,122853.6889045566,122853.6889045566,109384.68373118048
2025-06-12,119088.22044491218,124120.53137792562,124120.53137792562,124120.53137792562,124120.53137792562,109819.41750377933
2025-06-13,116963.98702172724,121945.07480925132,121945.07480925132,121945.07480925132,121945.07480925132,108591.62495801889
2025-06-16,118062.7432137284,123836.73714610808,123836.73714610808,123836.73714610808,123836.73714610808,109624.79518966301
2025-06-17,117248.84191535876,123212.25429354612,123212.25429354612,123212.25429354612,123212.25429354612,108688.03461923229
2025-06-18,118076.16527775819,124385.58225718232,124385.58225718232,124385.58225718232,124385.58225718232,108671.6621108464
