date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value,transformer_walkforward_value,benchmark_value
2025-05-12,92943.9293654452,102361.88851595174,102599.11994805027,103625.37283065509,99924.84754242886,100120.67505819169,100161.68699552615,103084.6356077124,103105.77908904264
2025-05-13,93421.67798506252,104328.76511040312,103940.35103446293,105128.96371296716,101038.71751941725,99230.50527001152,101490.25717716453,104414.06237524278,103786.68006386758
2025-05-14,92740.92209967037,104902.24382479281,103932.77149949389,104599.99665662785,100408.22380488171,99151.27781852985,101986.87088909242,104531.56717664626,103919.32367654737
2025-05-15,94063.15490190496,105846.6581992738,104967.39418458405,105606.48624349332,101645.49900032998,98788.49525917447,102846.80757299882,105683.82599255233,104426.9016316188
2025-05-16,94862.59266186252,106212.90067846132,105263.17822552919,105983.00994068009,102102.73996532346,99838.96464575175,103318.35040347373,106385.73188801557,105088.34487077977
2025-05-19,95271.65701790154,106499.91905398133,105360.81978691334,106089.03371467344,102475.79129963333,101077.91207854688,103608.09163583677,106765.83702382869,105203.29468354124
2025-05-20,95208.20321568767,106394.43967458376,105256.06867830704,106030.20888120522,102425.29198856268,101302.75102546142,103423.49406124724,106679.05556684975,104849.58201255924
2025-05-21,94126.82729400934,105134.82499385129,104095.08687233472,104672.23728716958,101245.84741903107,99633.69586481358,102783.96897888371,105552.10910890196,103082.78259339498
2025-05-22,93956.98288049687,105242.45274081884,104079.15205082779,104596.2385076999,101303.99959817309,99393.25596911754,102961.83124071878,105570.35656761726,103123.47288896093
2025-05-23,93531.06336649394,104619.89489041301,103723.67202796535,103817.63303519913,100893.62837259946,98899.35677993065,102322.46920426813,104889.71209475608,102419.56452999607
2025-05-27,94917.60167002308,106458.18282499298,105264.68377735163,105553.01419732976,102440.73055302878,100233.67860151733,104049.52975037589,106496.15439829734,104548.93985283986
2025-05-28,94970.2966112121,106536.60628872066,105240.6694132566,105584.32421504255,102404.70896119642,100495.56949346417,104150.76401686734,106612.76684033856,103944.07321944843
2025-05-29,95424.93869812827,107351.71868483002,105811.02958727126,105905.8560547179,102958.75826354783,100875.07601431219,104505.30123299477,107047.86666689365,104354.38427318445
2025-05-30,96437.80466697732,107742.99121301576,106455.64685081928,106223.24154037591,103702.30566712933,101723.45502055324,105243.23826117712,107866.4880264249,104237.65963618501
2025-06-02,97316.96213624536,108838.04425202259,107537.6158799968,107302.84850276266,104740.41223225911,102741.75240367491,106166.07104918176,108962.79623348777,104824.84335815039
2025-06-03,98100.65065672815,109409.92609005906,108102.6647087419,107866.6637628588,105135.04187205363,103128.8517083159,106541.81038595241,109535.33357202454,105422.59980609774
2025-06-04,98634.93906401352,109872.82017697219,108560.02800347659,108323.02857924461,105578.93934153268,103564.27871237144,106887.25924561526,109998.75823586,105394.31150321297
