date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,benchmark_value
2025-05-13,93374.02618058906,104328.76800219431,103940.3524818155,105128.96437999968,101038.71779917466,99230.50837705312,103783.00702043284
2025-05-14,92693.61435081254,104902.24290799575,103932.76913649552,104599.99346648656,100408.221386797,99151.27608555008,103915.64592489778
2025-05-15,94015.17549200004,105846.65957553317,104967.39267163633,105606.48390183742,101645.49630994842,98788.49544556682,104423.19497526984
2025-05-16,94814.203651732,106212.90111722871,105263.17720576163,105983.00809114751,102102.7377445404,99838.96665813122,105084.60384824856
2025-05-19,95223.0626517645,106499.92039184034,105360.81965607696,106089.03275925305,102475.79097431501,101077.91485412714,105199.56046894637
2025-05-20,95159.64375740668,106394.44553164406,105256.07301977646,106030.2124294003,102425.29498319504,101302.75807589582,104845.86035307513
2025-05-21,94078.81726409172,105134.82974689819,104095.09014231688,104672.23975879254,101245.84834408817,99633.70306868902,103079.1345349592
2025-05-22,93909.05786746753,105242.45420187652,104079.15205605891,104596.23769517938,101303.99839739523,99393.25884460782,103119.80161000245
2025-05-23,93483.3584484177,104619.89844707643,103723.67411416776,103817.63432005484,100893.63024283772,98899.35911008336,102415.94001263457
2025-05-27,94869.18776809963,106458.18661828728,105264.68606719312,105553.0156764637,102440.73157365885,100233.68238520782,104545.2288647168
2025-05-28,94921.85489230801,106536.60923370192,105240.67086101003,105584.32485074447,102404.70916247877,100495.57248569671,103940.39458930826
2025-05-29,95376.26540598938,107351.72223325682,105811.03161671801,105905.85726807664,102958.76007309965,100875.07956581787,104350.6801908554
2025-05-30,96388.61679656147,107742.99448518916,106455.64860759347,106223.24247207922,103702.30720965093,101723.45960406697,104233.97058512895
2025-06-02,97267.32283798349,108838.04350354544,107537.61364915589,107302.84544720965,104740.40864154632,102741.75198264299,104821.11168866462
2025-06-03,98050.61465659029,109409.93112286656,108102.66818227312,107866.66639486559,105135.04361507458,103128.85653092366,105418.868695324
2025-06-04,98584.63086256577,109872.82471180557,108560.03097864104,108323.03071044436,105578.9420482204,103564.28449340022,105390.55962032737
2025-06-05,98360.93181357437,109229.1152698241,107924.01277171819,107688.40101165163,105105.6201529076,103099.99452731267,104881.22492060934
2025-06-06,98378.35006606279,109356.44771667034,108049.82381198653,107813.93739051819,105158.59160847835,103151.95518147657,105958.2545669615
2025-06-09,98371.89496818047,109053.83974067602,107750.83148759244,107515.59780415698,104835.91809609116,102835.438925611,106053.75414265202
2025-06-10,98233.6407721827,108694.4454501553,107395.73134872904,107161.27289377675,104501.57472207102,102507.47549243234,106655.03889558022
2025-06-11,98605.81791784088,108832.62146743054,107532.256397168,107297.49989077999,104560.043322726,102564.82839514845,106350.8687728473
2025-06-12,98441.47129824883,108542.94596020768,107246.04202049796,107011.91035626798,104390.67125473745,102398.68828525429,106773.5341506526
2025-06-13,96486.38819127502,106401.32114097918,105130.00598219731,104900.49389207824,102519.79956483268,100563.51657217297,105579.794898574
2025-06-16,97701.87493857006,107592.17911453643,106306.63522459309,106074.55440412732,103268.79417606285,101298.21886693586,106584.29887240595
