date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value,transformer_walkforward_value,benchmark_value
2025-06-06,98238.14555585413,109210.85470939285,107919.39630256273,107670.53730906849,105006.22674401665,102990.21353930981,106051.15707813344,109349.6267455502,105962.01571252986
2025-06-09,98231.69982350785,108908.65137464806,107620.76663307553,107372.59627092582,104684.0197088961,102674.19255293699,105804.93678929022,109047.03940710718,106057.51867811961
2025-06-10,98093.6416158775,108549.73281034557,107266.09241241882,107018.73991872088,104350.15686663422,102346.73953911512,105700.5309106263,108687.66477220516,106658.83566303513
2025-06-11,98465.28681676417,108687.7239543362,107402.45176052755,107154.78482613323,104408.54255268666,102404.00427912752,105925.32339327977,108825.83125876657,106354.63296634758
2025-06-12,98301.17441821792,108398.43411228483,107116.58287694702,106869.57514789556,104239.41463581714,102238.1234469716,105577.80466148266,108536.17382193235,106777.32423578025
2025-06-13,96348.88382137656,106259.6681805235,105003.10863665871,104760.97451782225,102371.25939877312,100405.83489843839,103726.83508922187,106394.69020332566,105583.54261015447
2025-06-16,97562.6338707836,107448.93817450649,106178.31507683282,105933.47096607766,103119.16777573132,101139.38419202973,104463.01610553308,107585.47137876626,106588.09312883872
2025-06-17,97065.98123175053,106859.95057250273,105596.29246921676,105352.79048569067,102365.95172955927,100400.62913109796,103695.48322848085,106995.73536206491,105677.28163999856
2025-06-18,96714.1981699974,106355.76821645438,105098.07225442282,104855.7191522419,101547.59691342706,99597.98589861763,102974.35260189978,106490.91235163901,105661.36266431822
2025-06-20,96592.44950001477,106603.95986793538,105343.32894860803,105100.41029161347,101662.31583177095,99710.50232991495,103047.50340278263,106739.41937525886,105413.21392577184
2025-06-23,97765.96022378604,108160.33315926763,106881.29755501583,106634.8323870832,103126.09038246931,101146.17389172946,104480.61960556605,108297.77031882388,106454.42599788676
2025-06-24,99630.52710450537,109842.73779718627,108543.8071411183,108293.50827436557,104668.36637559644,102658.83974778325,106082.9714346289,109982.31275447212,107630.44849264067
2025-06-25,100041.72283855615,109522.62667928272,108227.48145457538,107977.91202566853,104245.7245852646,102244.31225178033,105725.09359213036,109661.79487781052,107690.75985125446
2025-06-26,101347.00088507518,110850.9582070645,109540.10497491433,109287.50867429304,105281.33460604875,103260.0396090162,106843.4699648001,110991.8142897435,108533.31138213293
2025-06-27,102601.56132287346,112001.58886386274,110677.12900223574,110421.91075723084,106479.1545282189,104434.86260181527,108042.02612622906,112143.90702977087,109072.5421841967
2025-06-30,103245.29428031537,112812.2108635351,111557.99463038352,111221.11876948534,107153.67993481546,105058.7832261537,108754.00952126451,112996.03991068037,109594.03563237315
2025-07-01,101006.23861364013,111046.14009670289,109756.68766829392,109315.99143914857,105721.40390801289,103329.12055310879,106663.23882859694,111040.43081539967,109558.57181309076
2025-07-02,102340.4621188911,112208.50374839861,109886.44463223612,109774.44278887958,107197.8599667394,104478.03203697692,107213.60642069136,111644.56995927612,110055.23949892032
2025-07-03,103620.6319553904,113929.03915960844,111346.73003375992,111245.11500416907,108972.40980806577,106059.06160343501,108584.81268070066,113152.16447463092,110922.62768063795
2025-07-07,102613.19741202184,113443.06017709163,110989.10933208959,111025.24208034284,108205.92747620757,105658.80361558622,108228.75853281631,112732.06875330211,110096.01690242432
2025-07-08,102677.38693449297,113228.58800562599,109935.6849489093,110657.40274217605,107525.53799291658,105493.56718797614,107410.04622247716,112295.51321073022,110035.72732079503
2025-07-09,103787.84914041175,114885.81125393909,111385.45064073562,112387.04236729155,108910.81824922186,107087.70907101517,108930.72791420699,114008.89403453597,110695.56995159412
2025-07-10,103985.91819027296,114982.08022476992,111242.67136072062,112444.61085845974,108877.27724662235,107220.24478195613,108985.24392842133,113544.6186833732,111007.75391310635
2025-07-11,103712.6928550763,114512.41259756719,110853.68313900715,112289.75541987013,108544.22228151695,106981.059515498,108823.56375540407,113174.79527586407,110617.53212758528
2025-07-14,103986.96144244337,115222.7965906566,111949.0243384632,113053.1270980741,109079.6604349672,107661.62963211068,109856.52283699012,113759.92145887153,110828.60554999519
2025-07-15,105523.47388437555,115942.5904475546,111654.7794897432,113498.79955160728,109917.48805347062,108528.01961196148,110224.88939331894,114068.9613194166,110354.99969076682
2025-07-16,106148.06785949264,116457.3269657583,111596.32941817204,113629.79233007647,110288.74450178974,108967.85585717563,110181.69600443033,114014.33799623264,110723.94536241697
2025-07-17,107260.10545222883,117163.84363911414,112179.23962388288,114062.13145802329,111697.36481119182,109605.66814348871,110700.45945788611,115012.49524822965,111401.53623559563
2025-07-18,106030.6884845735,116891.48019725006,111520.59204883035,113934.42485834182,110615.03442713285,109356.60486582453,110053.81380131154,114021.87218145578,111319.94876311085
2025-07-21,106444.65498036546,117104.64483549903,112160.20201980752,114248.85538417997,110867.44503647865,109500.36419063763,110549.83619257173,114629.75393519767,111531.03307401302
2025-07-22,104409.17250596499,115398.65108431375,110717.87773535938,112761.39261936546,109065.15659180746,107816.358930991,108826.43987658688,112857.59547540035,111546.99560366239
2025-07-23,105774.32780756752,117338.29800775422,112163.59740932005,114457.4013664097,110544.58613948942,109556.60947531885,110452.51884772032,114185.1302775045,112495.97125786477
2025-07-24,106765.04865879855,117975.85386833135,112523.99854447001,115162.52587837141,111109.74357918848,110345.31069868593,111100.89175211874,114683.44839656404,112533.22078987739
2025-07-25,107481.79620849216,118694.41345437031,113191.83449677106,115810.18067345141,111733.71389986959,111013.1863818057,111663.77337003339,115141.4357848422,113008.60147334369
2025-07-28,108500.4203824498,119302.4092537014,113290.44876581497,116223.82521286496,112297.8610425317,111699.78940517704,112162.26540708853,115533.60863143856,112980.22606252089
2025-07-29,108716.66299553575,118665.03414302567,112531.64665771686,115476.99503364673,111914.56356652494,111096.96964406199,111308.66967133567,114737.41696887393,112682.22980642006
2025-07-30,109487.22117547957,119355.62402713676,113160.12392019598,116132.77475994824,112745.85546278753,111698.16670432477,112153.57327208109,115406.09340287832,112540.32008682923
2025-07-31,110403.92980309662,120006.10921552239,113191.44997098848,117097.63899801609,111975.33366480313,112754.39837041343,112078.5111492374,116116.67843668707,112118.1514650249
2025-08-01,107428.93138171139,117787.05133088292,111655.6907776209,114860.31023371022,108872.84482662118,111241.17085028546,108711.43311392493,113634.29330127324,110280.4897382494
2025-08-04,109937.81630290131,120804.70284375228,114119.7641766653,117839.28305274827,111017.72631287013,113911.57222441006,111392.66362567371,116684.94199758714,111956.74045580105
2025-08-05,109292.9939577978,119911.27864695153,113574.73754852847,117068.33774503773,110545.1894086457,113176.17146321533,110818.55302136272,115833.68810588012,111389.12335442219
2025-08-06,109525.46159005754,120094.18403400276,113225.38685197127,116969.92073895891,110770.8231281633,113054.5221812056,111336.48137176165,115588.14000855107,112242.3238307284
2025-08-07,110064.39889084185,120813.58507980673,113620.23828846532,117433.82930162823,111300.18564386466,114034.08009955238,111733.42894049425,115813.3463470961,112148.31258857793
2025-08-08,110799.43705299016,121902.4205053364,114254.87035877092,118141.13304868528,112107.70644581762,115334.56323724256,112461.31776374628,116579.11494076221,113022.7891787551
2025-08-11,110700.71056778326,121427.98664238895,114171.41261631079,117862.61086063589,111618.36845325328,114750.43323424974,112260.61162152003,116552.27610299883,112799.29198667948
2025-08-12,112008.11191305362,123506.95844553896,116007.59264108937,120213.14803189396,113122.2415339586,116564.56702738469,114053.29417058898,118321.23755031523,114000.15113227256
2025-08-13,111305.93632944314,122527.85186855173,115619.57413490338,119483.62610877772,112877.8575646316,116942.32762702824,113941.64334251439,117840.78346070976,114390.39469477817
