date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,benchmark_value
2025-09-29,110842.91587719301,115665.59447122442,113024.19350833519,117100.74802477381,118045.55649277952
2025-09-30,111026.77615723018,115103.09101041932,113526.18373499597,117329.14629617786,118490.21589265103
2025-10-01,112949.78427304015,115706.55776810453,113989.80156725393,118537.00414526001,118893.97956280541
2025-10-02,112255.15225357268,115069.11008493883,114100.96279733251,117485.43462239427,119030.9192839588
2025-10-03,111928.12603540585,115266.65520630797,114315.3931426669,118081.01814679544,119029.15541063235
2025-10-06,112613.63649078901,115686.25104977444,114961.41116226095,119035.1984804669,119456.02364374191
2025-10-07,111616.93095773821,115211.14101868434,114166.75966615048,117890.78269337575,119013.13900530383
2025-10-08,112639.14909583038,114988.55952969342,114901.7249989853,117886.02500158105,119722.82581652897
2025-10-09,112870.443292051,114757.72719571597,115037.86460785421,117376.62565482603,119375.98516952716
2025-10-10,109757.58375433697,113021.85241009224,111823.0087866277,114877.219328234,116149.51243601457
2025-10-13,113371.58529238538,114873.46406098615,115356.62133247711,117131.6877036248,117931.72133458128
2025-10-14,111693.25355976811,115256.31664453275,113662.84672706714,117153.91790973675,117787.64990337336
2025-10-15,112687.7128477948,116715.89273542275,114617.00596973288,118048.566258043,118310.57301602619
2025-10-16,113190.73830125277,115835.54531510256,114733.06852501268,117439.30873075,117504.85310147167
2025-10-17,113108.988303087,115962.69401142035,114275.34253199326,118543.38895718628,118171.84764533241
2025-10-20,113546.835512859,116565.91130987238,114643.13273615636,119162.39430573679,119400.88627012967
2025-10-21,112468.15911440038,115628.5222283157,113657.53984010298,118639.84483374805,119399.10062058932
2025-10-22,111837.71626208257,115294.5741616212,113397.77052438697,118921.6676766498,118778.35875506679
2025-10-23,112880.64692182509,116097.40026955547,114374.76077399813,119590.23203433346,119482.71039388476
2025-10-24,113644.01169982622,117130.37930690627,116063.48395518243,120011.4376883842,120459.18848979005
2025-10-27,115623.61583199818,117998.87980818188,117938.38291818248,121298.80681186284,121880.32598556681
2025-10-28,116596.10601018433,117584.05507149243,119183.18840512328,121810.12552169392,122204.0402933995
2025-10-29,117491.6409459479,117575.26581002136,120414.7386654728,122478.3093425742,122262.73807798552
2025-10-30,116085.18659420226,117324.86496604848,118803.69619841507,121809.38601349393,120918.07864544968
2025-10-31,115823.67062322331,116805.62368769622,118528.99387190408,122377.5104840058,121314.72149365651
2025-11-03,116675.20143132645,117311.80019112494,118903.74525437332,123061.33120712584,121542.39181005293
2025-11-04,114938.64883089723,115665.91187885027,117405.98454119143,121058.98639643405,120101.67749797388
2025-11-05,116521.41634785564,116215.24040155047,118297.77349111254,121542.01583513756,120517.88627437603
2025-11-06,115245.2876962441,114280.06745562209,116628.32065114383,120292.51367358504,119224.80380447864
2025-11-07,113842.14937636856,114334.95879098221,116221.27959734375,119743.72963343139,119342.18848554368
2025-11-10,116692.33401129584,116709.85562742679,118552.80411960631,122127.37789945607,121204.44674643209
2025-11-11,116874.5962953264,116390.41234495187,118533.6768044555,121965.725005249,121481.9083759266
2025-11-12,118242.21639129135,117512.4539208821,119436.32477479267,121995.16920181812,121549.50174389352
2025-11-13,115217.25655305371,114807.78261119673,116765.90432642536,118506.78877689863,119532.50170698285
2025-11-14,115151.69099325789,114777.54110598726,116604.41473160588,118447.97969094061,119512.94666689447
2025-11-17,114521.87315877118,113210.75328634058,115916.71296814905,117763.58561227753,118399.5070736219
2025-11-18,113926.6096564764,111888.02166408871,114323.81073386737,116636.25475157,117405.24869906166
2025-11-19,114953.11279746157,112422.01319865108,114758.78431688249,118115.70120432062,117858.80368231412
2025-11-20,112620.9052516007,109917.13989699747,112282.79682304594,116211.14136473696,116062.36402795924
2025-11-21,113525.89627866625,110198.98820026952,112652.79254303809,116443.19472779433,117218.48500048931
2025-11-24,118003.07356500867,113062.14450822753,116242.1516453521,119801.48406506353,118943.77087590344
2025-11-25,118964.69002771631,112984.43931958488,116545.768334048,120784.54989794863,120062.5456415832
2025-11-26,120070.08000799261,114279.43323767291,117894.27012098955,121986.83280382298,120891.40278341377
2025-11-28,120343.35310479505,114976.81586915471,119155.43720017084,122522.31717569608,121551.27650532694
2025-12-01,118954.76505044728,113716.09701083938,118257.75101077276,121716.99646307722,120996.342358231
2025-12-02,118716.15089667891,113266.7273073419,118113.42820766679,121290.67454586174,121220.45226365363
2025-12-03,119004.073172075,114338.81747011801,118751.3871942462,122541.74909921696,121640.21056292264
